gene	SRR1039508	SRR1039509	SRR1039512	SRR1039513	SRR1039516	SRR1039517	SRR1039520	SRR1039521
TMEM98	2986	2393	3664	2077	3852	4572	2927	3010
YBX2	0	1	1	0	1	0	3	0
MAP3K14	272	224	274	79	287	177	199	116
ABCC8	0	0	0	0	0	0	0	0
CCL18	0	0	0	0	0	0	0	1
CCL3	0	0	0	0	0	0	0	0
SYNRG	1224	711	1310	560	1537	1211	990	742
CACNG3	0	0	0	0	0	0	0	0
TMEM132A	513	336	579	254	738	594	380	247
TAC1	0	4	1	0	0	0	0	0
ZNF263	540	451	583	433	664	844	499	508
CX3CL1	5	6	2	3	3	15	12	31
SPATA20	1747	1317	1334	715	1633	1868	1355	1314
CACNA1G	113	45	40	5	157	77	80	25
TNFRSF12A	540	348	668	258	720	1360	582	367
DLX6	0	0	0	0	0	0	0	0
MAP3K9	5	4	7	5	12	7	1	2
RALA	1791	920	1143	544	1574	1155	1102	801
BAIAP2L1	141	99	207	108	195	219	158	129
KDM7A	430	327	338	289	462	373	438	499
ETV1	214	94	207	120	171	229	315	263
ALDH3B1	875	1108	1391	856	1521	2571	525	843
TTC22	0	0	0	0	0	0	0	0
PHTF2	924	653	1538	678	1347	1144	1454	1016
FARP2	652	733	924	776	674	1458	738	1144
USH1C	0	0	0	0	0	0	0	0
GGCT	207	186	216	101	289	333	171	133
DBF4	98	70	104	48	113	103	96	72
TBXA2R	90	47	112	43	75	49	67	52
IFRD1	889	823	1047	586	1581	1768	1178	1097
LGALS14	0	0	0	0	0	0	0	0
COX10	166	150	221	130	209	356	139	170
PAF1	991	866	1504	715	1575	1480	1054	938
VPS41	2054	1582	2681	1578	2825	3223	2174	2138
ARHGAP44	37	26	27	18	38	38	48	55
ELAC2	928	935	1065	617	1090	1344	693	924
SCIN	3	3	1	0	2	3	2	2
ARSD	391	295	488	278	541	598	449	562
PNPLA4	119	140	175	86	203	221	141	143
MYH13	4	35	0	1	5	17	0	20
ADIPOR2	1070	1033	1187	851	1181	1615	878	1102
CDKL3	17	6	13	7	17	13	15	8
UPP2	3	3	4	0	3	0	1	1
PRSS21	1	0	5	2	0	0	1	4
MARK4	741	675	840	553	979	1121	700	798
PROM1	1	0	1	0	0	1	0	0
CCDC124	617	697	698	393	786	1169	473	586
CEACAM21	0	0	0	0	0	0	0	0
PAFAH1B1	3191	2910	3808	2388	3809	4813	2846	3212
NOS2	0	2	0	0	2	2	5	1
DNAH9	0	1	1	0	2	1	1	0
KIAA0100	4196	3353	5237	2825	5104	6764	3823	3978
GAS7	404	114	309	42	277	144	1343	730
TRAPPC6A	129	145	116	115	139	175	114	101
MATK	0	0	0	0	0	1	0	0
CD79B	1	2	0	4	5	0	1	2
SCN4A	0	1	2	1	1	0	1	0
ST7L	138	110	154	77	189	297	144	189
PAX6	32	35	27	22	22	38	41	39
RPUSD1	281	274	224	122	309	404	218	253
RHBDF1	1982	1878	1987	1001	1937	2524	1714	1983
LUC7L	770	591	820	415	836	826	626	613
CACNA2D2	18	13	12	20	15	10	17	31
BAIAP3	5	8	7	5	12	12	7	11
TSR3	494	464	488	252	487	728	396	436
PIGQ	731	621	682	369	641	1005	557	730
CRAMP1L	203	207	227	148	248	303	197	191
TEAD3	1474	2063	1696	1375	1246	2207	1123	1765
SELE	0	0	0	0	0	0	0	0
DNAJC11	561	533	702	393	824	1009	540	549
FMO3	761	785	2179	1583	224	346	280	284
MYLIP	373	245	522	193	514	445	321	232
NOX1	10	11	8	9	12	17	4	9
E2F2	1	4	1	2	0	2	0	0
PSMB1	1669	1479	1787	1096	1633	1970	1340	1398
SYN1	8	24	25	15	15	24	13	21
JARID2	277	260	284	220	308	541	227	364
CDKL5	98	90	128	37	142	176	106	93
CAMK1G	3	3	9	2	9	4	6	12
CDK11A	32	23	24	10	14	17	30	28
NADK	1276	1814	1413	1420	1445	2354	1103	2475
TFAP2B	1	1	1	1	0	0	0	0
TFAP2D	0	0	0	0	0	0	0	0
DLEC1	9	4	5	2	6	3	5	14
CYTH3	1815	3053	3036	3707	2771	8634	2115	5313
ADAM22	17	14	23	14	21	17	23	16
SYPL1	1874	1763	1958	1647	1894	2700	1835	2144
CYB561	559	480	612	339	629	837	440	427
SPAG9	2819	2278	3539	2009	3259	3911	2953	2980
CELSR3	62	81	87	49	124	175	72	87
AASS	494	949	565	655	451	1037	447	1103
PLEKHG6	7	12	4	3	11	19	5	5
SS18L2	111	153	85	102	109	146	114	142
MPND	81	66	88	49	110	147	69	81
MGST1	2722	2822	2967	1948	7202	8116	2520	2678
CRY1	249	261	269	165	277	411	312	253
PGLYRP1	0	6	1	1	1	1	0	3
NFIX	13653	9483	13436	6080	12077	11576	12068	9821
ST3GAL1	2057	1206	1752	588	2655	2319	1624	1090
MMP25	3	1	3	0	6	5	2	3
IL32	277	120	323	97	92	100	290	164
PKD1	4997	5334	5264	3282	4274	9038	4670	7609
MAPK8IP2	13	21	18	13	18	14	14	26
MED24	1228	1002	1320	685	1431	1724	1022	1128
RHOBTB2	429	487	510	442	513	822	473	828
HEATR5B	737	646	780	471	798	947	673	731
SEC62	4473	4375	5375	3611	5753	8077	4886	5187
RPS20	12982	11687	13055	6973	11456	13255	9469	9293
CSDE1	14887	12833	19863	11612	19887	22097	13495	14987
UBE3C	2019	2042	2213	1518	2429	3246	1742	2027
REV3L	4986	9573	5214	7251	5563	10312	4700	11982
TENM1	20	7	2	2	2	0	1	1
PAX7	0	0	0	0	0	0	0	0
MASP2	38	28	66	24	42	41	47	36
IYD	0	2	0	1	0	2	0	3
FAM76A	153	209	153	165	147	198	140	206
TRAF3IP3	18	11	15	7	12	14	10	10
POMT2	425	418	440	295	508	611	374	363
VTA1	829	672	1049	545	1087	1229	752	820
RANBP9	1300	1960	1559	1655	1705	2501	1407	2681
ETV7	28	13	20	8	15	10	17	8
SPRTN	169	141	202	125	212	221	164	156
METTL13	947	938	1152	605	1030	1122	807	797
DYRK4	200	157	246	110	256	266	172	146
ZNF207	2085	1998	2170	1331	2616	3317	1545	1756
UQCRC1	1630	1776	1661	1331	1973	3206	1240	1964
STARD3NL	879	803	837	511	961	1038	591	686
CD9	3125	3522	3829	3645	2693	5055	3603	5260
HHATL	0	0	0	0	0	0	0	0
NCAPD2	1331	1028	1365	823	1281	1498	1073	1296
IFFO1	1427	1228	1714	820	936	1046	1187	1273
GIPR	11	5	29	6	23	12	22	12
PHF7	68	56	80	60	85	70	81	88
SEMA3G	1	0	2	0	0	2	0	1
NISCH	2635	1889	3298	1480	3737	3715	2447	2226
STAB1	0	0	1	1	0	1	1	1
FUZ	188	178	236	132	150	191	165	227
SLC6A13	0	1	4	1	0	0	0	0
PRSS3	5	5	10	5	17	35	26	19
ZNF200	128	99	139	83	153	177	122	97
HFE	513	315	595	327	483	521	462	494
SCMH1	758	686	864	523	966	1042	702	714
FYN	1689	1674	1655	933	2496	2859	1318	1466
HIVEP2	1654	1096	1795	742	2004	2053	1371	1099
FMO1	14	20	80	61	0	21	23	23
TCEB3	1184	1093	1130	789	1249	1621	877	1052
LYPLA2	452	473	489	292	514	755	391	465
CLCN6	697	581	629	382	667	820	569	714
MRC2	18210	13395	23978	10779	18026	19714	16880	15349
NME2	0	0	0	0	0	0	0	0
SLC6A7	0	0	1	1	1	0	0	0
TSPAN9	3067	2923	3305	2380	3330	5276	3853	4784
BTBD7	1278	1090	1233	806	1397	1755	1079	1110
APBA3	186	200	220	115	223	270	164	192
MKS1	185	132	203	86	145	138	145	131
ABHD5	597	1420	824	1035	1244	1946	576	1692
KAL1	1	0	1	0	0	0	0	0
AKAP8L	675	603	810	369	935	878	604	575
MBTD1	421	279	412	225	487	411	418	360
UTP18	472	469	375	294	428	561	325	389
RNF216	1709	1488	1906	1069	2174	2655	1579	1654
TTC19	399	370	437	331	454	552	372	379
PTBP1	3594	3854	3158	2420	3609	5568	3118	3948
DPF1	11	8	18	9	12	24	5	7
SYT7	182	100	161	59	233	148	247	95
LARS2	561	482	445	268	459	611	346	333
PIK3C2A	1115	1271	1550	1100	1832	2694	1221	1672
PLAUR	389	349	502	240	340	561	406	397
ANLN	251	228	250	145	274	313	199	192
WIZ	1589	1667	1666	925	1689	2141	1405	1415
RABGAP1	1872	1815	2408	2249	2322	3745	1846	2501
DCN	219586	191767	422752	214062	293318	313112	378834	372489
QPCTL	101	130	131	135	123	252	110	163
PPP5C	789	1106	911	667	1018	1666	672	1110
CEP68	709	677	1001	557	1008	1240	658	949
MAP4K3	880	1189	1295	1207	1359	3045	856	1722
ZBTB32	3	6	7	1	1	6	0	0
TYROBP	0	1	4	3	0	0	3	2
TMEM159	958	816	877	683	871	988	921	1011
GABRA3	0	1	0	0	0	0	0	0
BRCA1	322	98	418	95	326	168	265	155
ERCC1	812	747	1105	492	1038	1454	657	713
CD22	0	1	0	0	0	1	0	0
MBTPS2	713	607	812	516	805	1134	650	709
LTF	0	0	0	1	4	4	0	0
EXTL3	1145	983	1402	889	1597	1982	1109	1281
NR1H4	0	0	0	0	0	0	0	1
ELOVL5	2045	1814	2584	2229	2275	3863	1863	2650
KDM5D	1094	988	1254	628	1392	1414	1	1
CALCOCO1	4637	5256	6763	4921	6378	8615	4635	7894
UBR7	572	525	684	380	562	518	571	518
MAP4K5	1782	1400	2309	1231	2551	2868	1768	1724
EHD3	2011	3335	1842	1018	1832	3358	1197	1535
PSMC4	1005	983	1002	660	1096	1429	739	778
MAN2B2	3030	2465	4089	2353	4067	5100	2208	2814
SLC7A14	268	23	435	56	558	75	562	74
CLDN11	6494	1515	5298	1369	5198	1173	5335	1735
SLC25A39	1011	963	1092	558	1323	1505	813	847
MVP	8611	7956	8539	5287	7726	10024	6716	8061
NUB1	1036	1070	1483	951	1550	1816	1031	1298
PGM3	1031	726	1277	541	1380	1603	1020	798
RWDD2A	243	153	301	162	329	333	299	245
CLK1	2512	2587	2403	2111	3280	3406	2235	2991
POLR3B	248	252	304	168	311	404	202	219
ANGEL1	358	299	451	190	486	434	353	289
RNF14	788	845	960	755	989	1242	676	930
DDX11	337	210	254	81	226	205	248	199
HEBP1	1181	1174	1435	1240	1594	2112	987	1548
GPRC5A	531	409	920	538	868	635	380	464
CD6	0	0	0	0	0	0	0	0
TACC3	75	88	98	45	58	87	57	63
UFL1	930	699	995	619	1123	1124	870	837
POLA2	192	139	217	99	156	177	168	152
ZC3H3	585	486	588	296	532	704	259	301
CAPN1	3263	3554	3997	2439	3454	5221	2780	3525
ACPP	16	11	21	7	15	26	28	6
MDH1	1613	1303	1876	1058	1834	2022	1274	1262
SLC30A9	1160	980	1561	997	1621	2217	1068	1256
COX15	699	559	778	448	785	840	537	524
CCDC88C	5	9	4	7	5	8	5	1
YAF2	185	270	233	203	262	311	173	212
DPEP1	0	2	0	1	0	7	0	3
BID	274	261	364	214	533	602	251	245
MATR3	7206	5499	8268	4596	8997	9147	6556	6136
NPC1L1	21	4	24	1	70	17	19	1
XYLT2	716	608	760	416	792	1068	574	627
RGPD5	1045	858	1422	729	1817	1734	1235	1051
STMN4	0	2	0	1	0	1	1	1
NUDCD3	1741	1509	1826	1186	1748	2018	1476	1492
ISL1	0	0	0	0	0	0	0	0
CHDH	161	21	164	26	70	29	218	58
IL20RA	17	10	12	3	5	1	22	11
CLCA1	0	1	0	0	0	0	1	0
CLCA4	1	0	0	0	0	0	0	0
GLT8D1	1544	1449	1854	1220	1483	1726	1590	1684
ATP2C1	2832	2074	3156	1862	3269	3477	3117	2715
IGF1	1059	877	1364	688	498	279	1051	701
MAGIX	20	11	26	11	22	24	16	19
RALBP1	2893	3638	2933	2418	3462	5543	2333	4087
RUFY3	1123	809	1195	614	1474	1262	952	779
CNTN1	49	49	35	40	41	61	43	48
SLC11A1	8	3	7	3	3	7	5	8
WWTR1	2883	2568	2659	1817	3208	3986	2031	2242
AGPS	743	713	883	503	903	1310	710	802
ZNF806	0	0	0	0	0	0	1	0
CXorf56	304	235	337	190	337	353	252	250
ATP1A2	334	176	2889	841	238	161	521	247
TTC27	245	209	285	194	324	405	297	254
ZNF582	52	58	71	43	79	77	56	41
VSIG2	1	0	4	7	16	27	4	3
MARCO	0	2	0	0	0	0	0	0
CYP24A1	70	3	9	0	12	2	20	0
PRDM11	183	199	194	122	157	217	141	275
SYT13	0	0	0	0	0	0	0	0
SNAI2	3302	5290	2847	1591	3859	2979	2231	2289
CD74	23	15	100	34	32	23	75	50
HGF	1529	909	1319	405	2440	1206	1544	699
ZRANB1	1338	2505	1585	1850	2011	3826	1278	2446
NCDN	1443	929	1280	469	1384	1263	1091	756
GPR124	9153	5457	9560	3956	9105	11219	9402	7425
CCT8L1P	0	0	0	0	1	0	1	0
ZFP64	326	284	446	153	413	449	293	235
MNAT1	161	132	238	125	232	292	127	171
SAMD4A	2102	3748	1923	2684	2036	5377	1930	5006
RUNX3	123	151	97	65	3	3	113	172
MRE11A	325	279	389	239	378	499	359	363
PLEKHB1	18	6	18	11	22	19	13	13
SERPINB1	536	660	627	512	577	1025	403	717
CYP3A43	0	0	0	0	0	0	0	1
SLC7A9	2	2	1	0	3	2	0	1
SPAST	500	475	567	369	518	547	481	552
NRXN3	8	20	42	63	12	40	7	77
OSBPL5	1433	1673	1192	771	1376	2276	1014	1515
AQR	1111	1014	1230	802	1310	1880	952	1251
CPS1	397	259	474	216	299	299	355	311
C8B	0	0	0	0	0	0	0	0
FHL1	7354	8775	11436	8544	8584	16109	9346	13964
RTFDC1	1404	1281	1676	955	1601	2409	1344	1364
GABRA1	0	0	0	0	0	0	0	0
SLC45A4	134	130	151	97	165	259	131	167
RNF10	2599	2616	2910	2091	2820	4016	2066	2620
ZNF839	195	122	263	118	209	259	157	159
ZDHHC6	636	662	749	480	767	968	563	692
GRAMD1B	70	24	91	33	197	147	82	68
RNH1	5592	5383	6055	3227	3972	5884	4004	4888
NDUFS1	1559	1458	1771	1108	1976	2335	1325	1644
RB1CC1	2561	2374	2933	1990	3640	3732	2434	3230
ERP44	1317	1231	1490	1038	1602	2268	1159	1428
ALAS1	1026	815	1155	522	1528	1441	845	719
BIRC3	62	77	46	32	44	46	39	98
AKAP11	1901	1496	2119	1185	2318	2788	1851	1823
GLRX2	94	104	93	81	84	123	81	70
SNAPC1	136	196	234	232	238	495	154	232
DERA	474	517	488	364	486	688	388	495
STRAP	1638	1972	2207	1551	2519	3237	1575	1916
ABCC2	18	21	9	9	14	11	14	22
DEF6	4	2	6	3	14	8	3	6
GCLM	990	1611	1304	1842	1364	4543	1237	2884
UBR2	1304	1128	1550	964	1454	1871	1171	1466
EHD2	10940	11446	13005	7734	14671	19665	9118	10741
DEPDC1	26	21	16	8	16	12	17	14
CCDC28A	206	229	291	185	256	243	165	239
RRAGD	4	15	6	3	7	8	5	7
HSF2	307	213	315	146	330	304	220	234
PHF20	1601	1390	1668	937	1915	1973	1411	1238
HSD17B6	232	69	637	56	89	40	245	53
NR1H3	374	454	484	276	456	483	307	392
TYMP	110	280	87	82	114	309	56	154
NCAPH2	423	364	401	194	352	444	294	260
TOMM34	832	555	939	386	1548	1087	623	512
SEC63	2806	2298	4367	2452	4270	5009	3203	3085
KPNA6	1700	1614	2056	1402	2353	2913	1542	1763
VIM	32264	20759	37558	21944	39307	26565	33928	26662
RTEL1-TNFRSF6B	62	41	75	16	33	64	38	31
FAS	1013	863	1394	682	1390	1835	1019	967
RNASET2	115	66	139	53	112	121	107	80
CD44	19273	12357	25453	14886	24143	26890	23210	20267
KCNG1	24	18	10	2	23	23	23	8
AGPAT4	419	316	315	168	532	513	298	306
SLAMF7	0	0	0	1	0	0	0	0
BTN3A1	1051	472	1135	388	1166	761	763	391
MIPEP	502	347	740	311	649	751	634	439
PRKCH	19	40	62	48	78	177	60	190
INSRR	2	0	1	0	2	1	0	0
IFNGR1	1322	1566	1340	1211	1587	1814	1086	1614
B4GALT7	492	381	570	241	511	720	400	356
SH2D2A	1	0	1	0	0	1	0	0
VRK2	155	171	207	133	227	272	179	224
TNFRSF1B	398	575	600	472	288	1006	337	546
VEZT	991	847	1662	971	1360	1515	1099	1203
POU2F2	70	14	34	3	104	33	34	9
BRD9	525	481	703	357	692	948	513	509
SNX1	3488	2805	4378	2386	4248	4770	3301	3315
TBPL1	437	364	514	245	661	532	417	315
ARNTL2	242	186	313	164	297	349	241	275
BCLAF1	3169	2519	4148	2247	3766	4623	3054	3061
SLC39A9	1442	1008	1718	958	1705	1998	1362	1285
ANK1	59	29	170	78	98	148	84	70
IBSP	0	0	5	0	0	1	0	0
TFB1M	127	87	125	75	98	166	113	96
RABEP1	1573	1401	1769	1045	1925	2087	1627	1751
NUP160	991	835	919	610	1054	1321	905	887
BAK1	180	182	193	114	205	296	158	155
MUSK	24	46	31	15	24	29	39	23
IKZF2	208	155	257	152	209	501	183	248
GRN	10904	7964	13735	6999	13548	14104	12219	11364
FAM13B	1112	857	1312	746	1239	1646	1096	1263
ARHGAP31	364	174	425	147	599	489	369	232
NR2E3	2	1	3	6	5	6	5	1
CENPQ	56	54	83	52	115	126	93	113
SARS	3342	2305	3980	1564	3815	2943	3310	2169
RANBP3	1780	1238	2312	777	1884	2029	1509	1213
ARID4A	619	566	804	404	777	832	606	750
TSSC1	238	194	295	114	225	352	137	191
PNPLA6	1140	1097	1529	927	1440	1899	956	1281
IFT88	263	144	354	123	321	274	232	144
ALG1	304	275	363	202	337	469	288	280
ZCCHC8	370	395	413	249	444	479	336	399
ABCF2	1075	1342	1243	880	1599	2336	929	1135
CHPF2	2131	1719	2559	1515	2747	3922	1923	1953
LRRC7	6	3	12	3	6	7	7	8
FUT8	1519	1435	2076	1014	2294	1661	1332	1131
UBA6	957	629	1067	586	1170	1269	905	717
GAB2	1119	1159	1267	1073	1376	1770	1062	1590
ATP6V0A1	680	964	781	656	723	840	669	964
PIAS1	610	512	822	451	727	830	567	588
SLC4A7	2642	1247	3493	1206	3405	1999	3407	1658
APBA2	104	80	74	33	233	317	39	50
UHRF1	110	73	116	38	111	151	94	30
MAP2K3	790	1203	897	944	659	2276	1090	1422
EFCAB1	9	6	6	5	12	12	4	1
TMSB10	10829	10179	16055	7516	16784	18635	10966	9693
ASTE1	129	86	131	46	146	116	145	72
RNF19A	761	790	829	566	710	833	689	864
PEX3	290	191	355	164	433	377	245	182
GABARAPL2	1316	1377	1415	1165	1397	2074	1113	1470
MYOC	336	254	1035	621	102	93	422	566
SH3YL1	573	360	544	264	652	536	532	361
FAM136A	335	307	373	249	373	475	323	424
VCL	11418	16360	17309	15613	10103	26071	12510	24430
DEPDC1B	27	13	12	2	18	15	10	6
DAPK2	174	491	520	792	161	924	487	1320
NSMAF	1170	833	1287	637	1396	1169	1112	902
ADSS	756	626	857	552	989	825	777	671
STAP1	0	0	0	0	0	0	0	0
TIMP2	36898	31612	48710	35384	50093	63221	35647	40512
RFC1	1120	906	1143	634	1313	1264	1046	984
TBC1D23	1296	1211	1181	855	1451	1826	1059	1266
CUL3	1634	1441	2001	1189	2351	2547	1412	1566
OTC	0	0	0	0	1	0	0	0
CYP46A1	29	16	23	11	20	22	39	23
ZZZ3	852	680	964	599	1045	1258	769	736
SLC18A1	0	0	0	0	0	0	0	0
USP2	9	9	10	14	18	21	3	9
CASR	0	0	0	0	0	0	0	0
TUBG2	518	429	674	337	638	711	463	419
RPL26L1	271	303	295	230	360	487	214	268
FLT4	2	2	2	0	1	10	0	0
NSUN2	700	678	816	510	1060	1395	600	661
FBXO42	578	568	640	502	638	875	503	777
MFAP3	766	736	888	663	878	1283	746	833
MRI1	202	196	235	113	245	357	90	100
METTL1	50	45	75	33	80	111	69	38
HOXC8	7	7	12	4	29	31	58	50
AGA	823	464	738	404	504	713	680	533
PI4K2B	461	431	417	286	379	448	425	352
BOD1L1	2340	1842	2723	1370	3114	3401	2243	2427
MAT2B	1619	1837	1443	1459	1584	2352	1308	2013
TLL1	12	5	37	9	7	8	0	0
EDC4	701	642	783	427	837	1085	597	738
TRIO	6353	5208	7611	3043	6941	8644	6732	5781
VCAN	9624	6485	11227	3855	10844	10685	9587	8908
CLEC16A	667	517	742	381	909	703	648	681
MSR1	94	53	102	28	341	238	286	200
CDH1	0	0	0	1	2	3	0	0
SKIV2L2	1272	1071	1452	882	1407	1662	1131	1092
DNAH5	142	117	304	92	267	435	233	198
ZFYVE16	1176	881	1213	632	1450	1713	972	900
FAM65A	1138	1257	1036	728	1101	1460	1043	1142
C6	2	16	12	21	34	95	4	20
RAI14	3717	4005	4846	3934	5125	11347	4062	5151
SOX30	4	3	4	3	4	8	2	3
PNKP	437	303	391	153	386	476	291	220
BEST2	0	1	0	0	0	2	0	2
PHLPP2	240	229	296	218	342	486	268	401
SPDL1	231	210	352	122	203	297	215	162
STAU2	635	448	800	432	760	859	524	593
PQLC2	219	252	219	155	271	373	212	255
CTNS	462	385	567	306	615	678	502	586
RTN4R	1	1	5	0	1	2	2	0
PHF23	879	757	849	459	1262	1089	737	569
CDH10	107	42	108	15	35	6	207	51
INPP4A	751	571	835	519	764	1002	681	654
RAB27B	37	14	17	5	357	91	24	11
PSMA4	1248	1183	1516	952	1467	1477	1081	1000
MYO16	7	11	5	9	4	20	4	21
LSG1	438	470	590	348	640	874	444	524
PARP3	401	402	458	224	379	403	387	367
TNC	3318	1037	7317	2925	2468	2221	6527	3678
THAP3	196	179	242	124	222	253	202	174
FAM65C	1600	1808	1282	656	2182	2609	1118	1378
TDP1	207	137	235	107	276	207	214	181
AIFM2	457	641	562	467	514	1082	413	720
C2orf83	0	0	1	0	0	0	0	1
SPATA7	233	152	249	138	283	247	218	175
MED17	400	362	414	302	450	567	288	375
RETSAT	1289	1137	1676	863	1534	1852	1030	1025
CAPG	861	866	1124	613	851	1032	1373	1301
AP2S1	1102	1173	1406	839	1207	1949	983	1103
USH2A	4	0	3	2	6	7	6	3
ZPBP	0	0	0	0	0	0	0	0
TG	13	13	51	21	57	74	22	50
ADAM28	3	4	12	3	13	44	9	17
BARX2	0	0	0	0	0	0	0	0
DCUN1D1	702	617	716	504	824	971	585	667
JADE2	1465	1716	1633	1042	1593	2251	1176	1613
ZIC2	0	0	0	0	0	0	0	0
LCP2	0	0	0	0	0	0	0	0
TRIT1	221	186	321	155	291	392	208	190
ADRB1	0	0	0	0	0	0	0	0
